259,C00507517,CREDO SUPERPAC,QUARTERLY FILER
260,C00561621,CRESCENT CITY SUPER PAC,QUARTERLY FILER
261,C00521146,CROSSROADS GENERATION,QUARTERLY FILER
262,C00558924,CT BLACK REPUBLICANS AND CONSERVATIVES,QUARTERLY FILER
263,C00524538,DARBO,QUARTERLY FILER
264,C00541532,DAVIS ADVISORY GROUP LLC DBA AMERICA CHANGE - A POLITICAL ACTION COMMITTEE,QUARTERLY FILER
265,C00523019,DEFENDERS OF WILDLIFE ACTION COMMITTEE,QUARTERLY FILER
266,C00540203,DEFENDING MAIN STREET SUPERPAC INC,MONTHLY FILER
267,C00539858,DEFENDING OUR VALUES,QUARTERLY FILER
268,C00526962,DELAWARE HORSE ASSOCIATION,QUARTERLY FILER
269,C00552042,DEMOCRACY DEMANDS,QUARTERLY FILER
270,C00542597,DEMOCRATS UNLIMITED,QUARTERLY FILER
271,C00563163,DETROIT FORWARD-FEDERAL,MONTHLY FILER
272,C00550509,DETROITERS VOTE,QUARTERLY FILER
273,C00503789,DGA ACTION,MONTHLY FILER
274,C00553594,DGA ACTION INDIVIDUAL,MONTHLY FILER
275,C00549840,DICK MORRIS' JUST SAY NO TO HILLARY PAC,QUARTERLY FILER
276,C00564997,DIRECT SELLING EMPOWERS AMERICANS,QUARTERLY FILER
277,C00520452,DISABLED CITIZENS UNITED,QUARTERLY FILER
278,C00522292,DISASSEMBLY SUPER PAC,QUARTERLY FILER
279,C00494997,DOWNTOWN FOR DEMOCRACY INDEPENDENT EXPENDITURE COMMITTEE,QUARTERLY FILER
280,C00555615,DRAFT BERNIE,QUARTERLY FILER
281,C00566141,DRAFT BRIAN SCHWEITZER,QUARTERLY FILER
282,C00554725,DRAFT TED CRUZ FOR PRESIDENT,QUARTERLY FILER
283,C00566901,DRAFTRUSH2016,QUARTERLY FILER
284,C00543868,EASTGATE VICTORY INC,QUARTERLY FILER
285,C00570341,ECOMMERCE FREEDOM PAC,QUARTERLY FILER
286,C00502815,ECONOMIC STRATEGY GROUP,QUARTERLY FILER
287,C00555243,EDVENGERS; THE,QUARTERLY FILER
